ID,population,householdsize,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,ViolentCrimesPerPop
1408,15550,2.48,15.34,26.25,13.02,15.18,0,0.0,21989,69.77,0.79,37.58,37.41,9.25,20.22,27941,10868,2151,14.23,16.78,38.44,8.11,10.84,52.77,37.56,18.29,29.77,17.49,13.48,25.14,15.97,14.82,2.98,67.13,63.97,78.0,71.51,61.94,73.72,227,1.6,131,3.05,3.05,8.4,8.4,0.03,0.03,0.07,0.07,98.04,0.31,3.56,2.44,2.42,2.48,2.32,64.27,2.07,56.01,2,413,93.82,62.71,4.6,48.91,1948,12.92,0.79,28000,37000,50300,22300,175,229,277,102,304,23.1,14.9,12.8,6,0,0.84,75.13,56.01,86.51,94.18,286.67
515,17834,2.69,13.36,25.7,12.0,10.89,17834,100.0,32436,80.02,0.97,42.35,25.6,6.07,19.25,37752,13678,1339,7.73,9.31,23.03,14.92,4.12,63.41,28.1,19.26,16.65,23.16,9.47,22.34,11.48,10.54,3.07,79.08,76.63,83.1,76.68,60.46,66.85,242,1.81,175,0.0,0.0,4.57,4.57,0.0,0.0,0.04,0.04,97.03,0.23,3.08,2.34,2.62,2.8,2.28,70.24,1.3,38.33,3,208,96.96,65.76,1.92,35.1,1964,3.75,0.12,53300,73400,94500,41200,251,328,384,133,405,24.5,16.9,11.7,0,0,0.98,71.96,51.08,86.32,92.69,186.81
931,20337,2.97,16.57,30.16,15.05,10.08,19935,98.02,17897,72.51,1.34,24.83,27.2,12.86,13.8,21433,8016,6570,33.01,24.62,42.28,8.77,11.51,55.31,17.5,16.89,19.83,14.9,12.06,33.01,15.63,13.82,3.49,62.93,60.8,65.19,70.27,52.21,60.65,1225,7.41,4438,24.99,42.59,50.11,60.16,5.45,9.29,10.94,13.13,60.28,16.07,14.03,9.89,2.91,2.77,3.04,45.03,17.57,61.77,2,856,88.88,47.37,5.84,35.98,1964,12.69,0.87,33900,44100,56600,22700,178,228,281,103,284,27.7,18.5,12.4,60,13,21.82,39.42,34.23,59.74,75.41,881.06
293,44685,2.69,12.77,24.5,10.58,9.87,44685,100.0,39975,79.69,0.37,46.85,22.07,7.17,16.83,45536,17430,3000,6.83,4.2,13.08,23.96,4.99,65.13,11.22,20.03,9.81,30.69,10.9,23.94,14.69,12.89,3.08,76.12,74.33,84.62,73.44,61.38,70.29,527,1.7,2886,10.57,19.47,25.36,36.73,0.68,1.26,1.64,2.37,90.02,1.86,4.05,3.0,2.65,2.75,2.46,68.47,3.7,41.99,3,1183,93.35,65.99,1.52,17.67,1979,2.64,0.31,115600,158500,205200,89600,397,522,660,263,600,28.9,24.6,11.5,129,11,6.46,56.78,35.65,53.08,87.98,540.49
1432,20651,3.52,19.55,30.11,14.99,10.14,0,0.0,13060,69.98,1.18,15.11,31.17,23.79,10.06,14397,5720,9445,46.12,44.85,58.71,8.91,19.01,42.76,11.57,28.68,17.93,24.3,5.3,30.47,10.93,8.4,3.96,73.36,65.5,84.94,75.42,48.76,52.63,426,2.06,7528,10.49,15.86,21.75,26.59,3.83,5.78,7.93,9.69,6.15,29.78,17.76,14.71,3.5,3.63,3.32,59.5,22.15,52.44,2,490,92.29,57.34,6.53,44.9,1971,17.01,2.41,30900,42500,59000,28100,111,178,256,145,239,27.3,23.1,13.6,1,10,36.45,53.29,63.18,84.05,91.07,712.74
1224,86874,2.43,12.34,26.4,12.55,9.53,86878,100.0,43800,85.06,0.8,58.5,18.85,2.87,14.74,54261,23816,4807,5.58,1.84,5.82,45.65,3.03,70.55,17.03,22.11,6.06,39.81,9.06,30.94,14.05,11.63,2.94,79.33,78.66,87.02,80.28,53.62,66.89,646,1.11,11548,24.74,30.38,39.89,48.46,3.29,4.04,5.3,6.44,86.45,2.74,3.66,2.43,2.41,2.65,2.08,63.99,2.46,42.95,3,1672,95.53,58.22,0.36,8.85,1971,0.76,0.17,146300,192800,274100,127800,457,542,664,207,610,27.2,19.3,11.4,18,13,13.29,37.25,44.2,73.84,79.75,223.06
919,12652,3.84,19.7,31.81,15.94,10.63,12751,100.0,16922,72.27,1.73,16.86,32.14,24.49,12.06,17999,5586,4962,38.96,43.86,59.01,8.54,18.14,42.59,12.14,28.21,17.93,19.61,6.27,32.39,10.79,8.68,4.15,70.46,62.72,70.62,71.76,48.98,56.67,447,3.45,2313,6.83,14.74,26.98,35.84,1.25,2.7,4.93,6.55,18.22,20.26,24.21,21.16,3.83,3.75,4.04,70.41,29.78,59.3,2,951,77.62,71.95,6.62,20.61,1973,17.51,2.07,18800,29700,43700,24900,99,151,228,129,207,30.0,21.9,12.2,0,0,18.14,66.81,66.12,85.46,92.69,284.75
788,11162,2.8,15.43,26.03,12.04,12.78,0,0.0,14874,62.83,0.8,20.56,33.58,18.81,11.52,19434,7635,4173,38.27,23.94,44.84,10.82,13.93,42.8,7.98,30.42,14.6,23.57,8.97,25.84,12.76,11.08,3.32,67.27,62.57,68.65,66.57,50.91,50.89,667,5.78,25,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.06,65.56,2.4,9.0,6.59,2.74,2.68,2.86,63.1,7.17,40.73,3,410,90.68,64.53,7.32,47.8,1963,14.35,0.64,24500,39100,56400,31900,114,165,226,112,261,28.6,23.0,15.3,0,0,0.22,93.09,62.57,89.93,98.48,1487.34
234,71349,2.63,13.63,33.47,16.0,6.72,71349,100.0,30967,85.01,0.36,24.95,13.91,9.35,9.61,35336,13880,9833,13.92,10.94,26.11,15.71,6.89,67.67,26.57,16.67,15.06,22.23,13.15,40.44,17.54,15.38,3.27,60.05,57.28,65.95,62.92,59.65,67.19,4021,8.94,20927,17.83,29.19,40.26,53.32,5.23,8.56,11.81,15.64,60.24,10.48,9.86,6.18,2.61,2.96,2.48,29.04,19.14,77.42,2,2077,92.89,25.55,1.3,14.83,1968,3.97,0.44,175700,226100,278900,103200,513,593,694,181,629,28.2,24.8,10.8,0,1,29.33,40.76,38.23,83.23,85.85,2541.38
1433,23229,3.42,12.28,31.36,14.01,3.15,23229,100.0,53710,91.86,0.9,48.86,11.54,4.19,11.37,55924,17056,794,4.23,1.9,14.13,24.07,3.52,59.36,14.86,16.05,7.69,30.94,13.11,38.1,14.43,13.69,3.2,82.44,80.04,90.2,82.85,66.41,72.22,1030,6.51,1928,7.94,14.83,25.99,32.57,0.66,1.23,2.16,2.7,86.56,1.48,5.32,4.13,2.86,2.96,2.69,67.22,2.59,26.14,3,190,97.28,65.13,0.0,11.05,1972,0.6,0.09,207500,240900,304200,96700,702,811,931,229,884,26.5,26.6,12.3,0,0,8.3,55.25,37.34,59.44,85.53,251.23
